key,a0.25_rp1.0,a0.25_rp1.5,a0.25_rp2.0,a0.25_rp2.5,a0.25_rp3.0,a0.5_rp1.0,a0.5_rp1.5,a0.5_rp2.0,a0.5_rp2.5,a0.5_rp3.0,a1.0_rp1.0,a1.0_rp1.5,a1.0_rp2.0,a1.0_rp2.5,a1.0_rp3.0,Etot
1D-000,0.046791602961624816,-0.35559089974460106,-1.1166315074543243,0.13895556205870346,-1.0573110224101487,0.6593908288242001,-0.6949941177143012,-0.9245712265683631,-0.36882502926093647,-0.34967617722792,-0.7791149038916553,-0.7918232094813922,-0.756040857472264,-0.6689536415179707,-0.5534250949443511,0.7807651249999878
1D-001,-0.22999055526680445,-0.009114634708426363,-0.6271626315002927,0.9368187890166856,-0.8374290873710782,-0.09218691818443203,-0.28491373555524424,-0.04859807684564087,0.7048409482746375,0.18296553631841475,-0.32392052145133055,-0.10920343507023562,0.064404799808933,0.23809557268039888,0.3546319168938882,1.100079624999978
1D-002,-0.5082817925904936,0.28797381279008144,-0.8989681471445918,1.1854946628067795,-1.25637006594316,-0.16235421228755084,-0.19823550334686021,-0.22786843546139884,0.6322732849348685,0.31108430873545717,-0.3774948822423336,-0.17293519966883536,-0.020781376903035775,0.15384369868850886,0.3050321316428316,1.1206828749999715
1D-003,0.9426221920331748,-1.191139674483659,-1.1679922282672215,-0.5571886510682067,-1.3234459728845998,0.740522894477131,-1.4057266651843972,-1.3240465803150525,-0.969538373594106,-0.8243463902738499,-1.6203765715619185,-1.436150842449161,-1.324439626877654,-1.2182776644860478,-1.1028707428349611,1.0515559999999766
1D-004,1.2034629894947768,-1.189862069611521,-1.1658275758132035,-0.6034886083934026,-1.293797618861925,0.7034677390702352,-1.443933111180989,-1.3224359607625285,-1.0006435933928581,-0.8329387699945279,-1.6654124821842207,-1.4634959018945004,-1.343413897281202,-1.235680668802848,-1.121030353656698,1.0752934999999582
1D-005,0.9804922047308291,-1.2006548113969762,-1.1682054450910853,-0.5610460979625601,-1.3217425005460897,0.7590830368532513,-1.4098244046555597,-1.326516582077105,-0.972845862878965,-0.8251588040982514,-1.613991454887466,-1.4369766756277522,-1.326935651922837,-1.2210910129234025,-1.1054763399074543,1.0496477499999628
1D-006,1.3698062709281018,-1.296712788970473,-0.9748064093518314,-0.45134945257389175,-1.1646900099135367,1.0440258640353968,-1.4044318263078805,-1.1471295578854228,-0.6702840434286179,-0.756063368646626,-1.333310334901626,-1.2615410351339085,-1.1449969411609213,-1.0125173686984734,-0.8921767792609786,1.1619104999999763
1D-007,-0.036959065331350474,-0.8369315139721365,-1.1043278795738887,0.3048873098742979,-0.8355553164254085,-0.008158158597783245,-1.2973170155242566,-1.0106247797905437,-0.20982289451906133,-0.27854524161693617,-1.7716874618547767,-1.2429768741813376,-0.9606078737376538,-0.7175860542099755,-0.5072190240061486,1.2058891249999704
1D-008,0.6934830937195898,-1.0765205700686338,-1.144243606622062,-0.41506304414364337,-0.9126351412993187,0.5584058539157134,-1.368544085008546,-1.2518357706450498,-0.802165361995311,-0.6476534962570829,-1.6493641422194565,-1.3871923108855673,-1.2376714493506442,-1.0986998519573947,-0.954134148844669,1.2224388749999946
1D-009,3.475305474228846,-3.0920433075405227,-1.2993749025643058,-1.7794065036388906,-1.593973464977455,2.2299607247924005,-2.7402936890029284,-2.2234882688108835,-2.0547558466371507,-1.7791085057114542,-2.4984207134472878,-2.5098714378789677,-2.407116559984604,-2.29304964180786,-2.168152919751786,1.2850847499999816
