x1,x2,x3,x4,x5,x6,y
0.0,0.0,0.0,0.0,0.0,0.0,0.012582096150456346
0.1,0.010000000000000002,0.0010000000000000002,0.00010000000000000002,1.0000000000000003e-05,0.09983341664682815,0.10707378220427796
0.2,0.04000000000000001,0.008000000000000002,0.0016000000000000003,0.0003200000000000001,0.19866933079506122,0.1956498200191329
0.30000000000000004,0.09000000000000002,0.027000000000000014,0.008100000000000005,0.0024300000000000016,0.2955202066613396,0.29677382476950465
0.4,0.16000000000000003,0.06400000000000002,0.025600000000000005,0.010240000000000003,0.3894183423086505,0.3993981306937195
0.5,0.25,0.125,0.0625,0.03125,0.479425538604203,0.4759736027203026
0.6000000000000001,0.3600000000000001,0.2160000000000001,0.12960000000000008,0.07776000000000005,0.5646424733950355,0.5808999948917778
0.7000000000000001,0.4900000000000001,0.3430000000000001,0.2401000000000001,0.16807000000000008,0.6442176872376911,0.6315141250979793
0.8,0.6400000000000001,0.5120000000000001,0.4096000000000001,0.3276800000000001,0.7173560908995228,0.7372921244820574
0.9,0.81,0.7290000000000001,0.6561,0.5904900000000001,0.7833269096274834,0.777079585826774
1.0,1.0,1.0,1.0,1.0,0.8414709848078965,0.841665888174049
1.1,1.2100000000000002,1.3310000000000004,1.4641000000000004,1.6105100000000006,0.8912073600614354,0.8772412165976884
1.2000000000000002,1.4400000000000004,1.7280000000000009,2.073600000000001,2.4883200000000016,0.9320390859672264,0.9253211585142156
1.3,1.6900000000000002,2.197,2.8561000000000005,3.7129300000000005,0.963558185417193,0.9770482792574832
1.4000000000000001,1.9600000000000004,2.7440000000000007,3.8416000000000015,5.378240000000003,0.9854497299884603,0.9952476665588874
1.5,2.25,3.375,5.0625,7.59375,0.9974949866040544,1.0024251200079357
1.6,2.5600000000000005,4.096000000000001,6.553600000000001,10.485760000000003,0.9995736030415051,0.9944252382690947
1.7000000000000002,2.8900000000000006,4.913000000000001,8.352100000000004,14.198570000000007,0.9916648104524686,0.9947538328368208
1.8,3.24,5.832000000000001,10.4976,18.895680000000002,0.9738476308781951,0.9600143636910352
1.9000000000000001,3.6100000000000003,6.859000000000002,13.032100000000003,24.76099000000001,0.9463000876874145,0.9392084346006646
2.0,4.0,8.0,16.0,32.0,0.9092974268256817,0.899378632327034
2.1,4.41,9.261000000000001,19.448100000000004,40.84101000000001,0.8632093666488737,0.8755256059502026
2.2,4.840000000000001,10.648000000000003,23.425600000000006,51.53632000000002,0.8084964038195901,0.7913268871764771
2.3000000000000003,5.290000000000001,12.167000000000003,27.984100000000012,64.36343000000004,0.74570521217672,0.7481795697329032
2.4000000000000004,5.760000000000002,13.824000000000007,33.17760000000002,79.62624000000005,0.6754631805511506,0.6878151853059765
2.5,6.25,15.625,39.0625,97.65625,0.5984721441039565,0.6012857450195978
2.6,6.760000000000001,17.576,45.69760000000001,118.81376000000002,0.5155013718214642,0.5127461337704127
2.7,7.290000000000001,19.683000000000003,53.144100000000016,143.48907000000005,0.4273798802338298,0.43104283735814997
2.8000000000000003,7.840000000000002,21.952000000000005,61.46560000000002,172.10368000000008,0.33498815015590466,0.33656610530315967
2.9000000000000004,8.410000000000002,24.38900000000001,70.72810000000004,205.11149000000012,0.23924932921398198,0.2296255188771167
3.0,9.0,27.0,81.0,243.0,0.1411200080598672,0.12294124889326319
3.1,9.610000000000001,29.791000000000004,92.35210000000001,286.29151,0.04158066243329049,0.035291290615914614
3.2,10.240000000000002,32.76800000000001,104.85760000000002,335.5443200000001,-0.058374143427580086,-0.06631299472568936
3.3000000000000003,10.890000000000002,35.93700000000001,118.59210000000004,391.35393000000016,-0.15774569414324865,-0.16590677144692206
3.4000000000000004,11.560000000000002,39.30400000000001,133.63360000000006,454.35424000000023,-0.25554110202683167,-0.25986559345072435
3.5,12.25,42.875,150.0625,525.21875,-0.35078322768961984,-0.36114767788675356
3.6,12.96,46.656000000000006,167.9616,604.6617600000001,-0.44252044329485246,-0.433262341664823
3.7,13.690000000000001,50.653000000000006,187.41610000000003,693.4395700000001,-0.5298361409084934,-0.5438803774737282
3.8000000000000003,14.440000000000001,54.872000000000014,208.51360000000005,792.3516800000003,-0.6118578909427193,-0.6068564543506995
3.9000000000000004,15.210000000000003,59.31900000000002,231.34410000000008,902.2419900000004,-0.6877661591839741,-0.6752404622743382
4.0,16.0,64.0,256.0,1024.0,-0.7568024953079282,-0.7620957204851709
4.1000000000000005,16.810000000000006,68.92100000000002,282.57610000000017,1158.5620100000008,-0.8182771110644108,-0.7967429633463157
4.2,17.64,74.08800000000001,311.16960000000006,1306.9123200000004,-0.8715757724135882,-0.8715668989851704
4.3,18.49,79.50699999999999,341.88009999999997,1470.0844299999997,-0.9161659367494549,-0.9199830542185969
4.4,19.360000000000003,85.18400000000003,374.8096000000001,1649.1622400000006,-0.951602073889516,-0.9488342586783173
4.5,20.25,91.125,410.0625,1845.28125,-0.977530117665097,-0.9789771342233264
4.6000000000000005,21.160000000000004,97.33600000000003,447.7456000000002,2059.629760000001,-0.9936910036334645,-0.9842361960341636
